transfer_id,from_account,amount,currency,timestamp,state
TRF_1,acc_174,1743.03,SAR,2026-04-28T15:26:23.823216,completed
TRF_2,acc_183,1241.13,AED,2026-04-07T15:26:23.823216,failed
TRF_3,acc_183,1914.78,AED,2026-04-25T15:26:23.823216,failed
TRF_4,acc_131,532.27,AED,2026-04-15T15:26:23.823216,processing
TRF_5,acc_180,111.88,AED,2026-05-05T15:26:23.823216,completed
TRF_6,acc_177,1777.46,AED,2026-04-15T15:26:23.823216,failed
TRF_7,acc_160,496.54,USD,2026-04-19T15:26:23.823216,failed
TRF_8,acc_138,226.36,SAR,2026-04-08T15:26:23.823216,processing
TRF_9,acc_107,981.27,SAR,2026-04-19T15:26:23.823216,processing
TRF_10,acc_117,754.71,USD,2026-04-20T15:26:23.823216,failed
